,time,et_x,et_y,et_z,head_pos_x,head_pos_y,head_pos_z,class_disp
808,1578642357816700,0.14967346,-0.00648499,0.9887085,-0.0804,1.1847299999999998,0.37933,0
809,1578642357820708,0.15116882,-0.00253296,0.98849487,-0.0804,1.1847299999999998,0.37933,0
810,1578642357824703,0.15116882,-0.00253296,0.98849487,-0.08047,1.18468,0.37932,0
811,1578642357828688,0.15589905,0.00224304,0.98776245,-0.08048999999999999,1.18468,0.37932,0
812,1578642357832684,0.15589905,0.00224304,0.98776245,-0.0805,1.18468,0.37932,0
813,1578642357836705,0.15460205,0.00143433,0.98796082,-0.0805,1.18468,0.37932,0
814,1578642357841692,0.15460205,0.00143433,0.98796082,-0.08055,1.18467,0.37935,0
815,1578642357845715,0.1529541,0.00276184,0.98822021,-0.08055,1.18467,0.37935,0
816,1578642357850701,0.1529541,0.00276184,0.98822021,-0.08056,1.18467,0.37935,0
817,1578642357854697,0.15443420000000002,0.00367737,0.98799133,-0.08056,1.18467,0.37935,0
818,1578642357858704,0.15443420000000002,0.00367737,0.98799133,-0.08041,1.18476,0.37933,0
819,1578642357862695,0.15586853,0.00466919,0.98776245,-0.08041,1.18476,0.37933,0
820,1578642357866692,0.15586853,0.00466919,0.98776245,-0.08042,1.18475,0.37933,0
821,1578642357870683,0.15626526,0.00469971,0.98770142,-0.08042,1.18475,0.37933,0
822,1578642357874692,0.15626526,0.00469971,0.98770142,-0.08044,1.18474,0.37934,0
823,1578642357879687,0.15592957,0.00469971,0.98774719,-0.08045,1.18474,0.37934,0
824,1578642357883682,0.15592957,0.00469971,0.98774719,-0.08045,1.18474,0.37934,0
825,1578642357887714,0.15557861,0.00509644,0.98780823,-0.08055,1.18467,0.37937,0
826,1578642357891679,0.15557861,0.00509644,0.98780823,-0.08055,1.18467,0.37937,0
827,1578642357895691,0.15518188,0.00527954,0.98786926,-0.08056,1.18466,0.37937,0
828,1578642357900687,0.15518188,0.00527954,0.98786926,-0.08056,1.18466,0.37937,0
829,1578642357904681,0.15501404,0.00566101,0.98788452,-0.08056,1.18469,0.37936,0
830,1578642357908714,0.15501404,0.00566101,0.98788452,-0.08056,1.18469,0.37936,0
831,1578642357912672,0.15492249,0.00604248,0.98789978,-0.08056,1.18468,0.37936,0
832,1578642357916674,0.15492249,0.00604248,0.98789978,-0.08057,1.18468,0.37936,0
833,1578642357920664,0.15501404,0.00543213,0.98788452,-0.08057,1.18468,0.37936,0
834,1578642357924673,0.15501404,0.00543213,0.98788452,-0.08057,1.18468,0.37936,0
835,1578642357928661,0.15534973,0.00468445,0.98783875,-0.08057,1.18468,0.37936,0
836,1578642357963668,0.15553284,0.0030365,0.98782349,-0.08101,1.18442,0.37946,0
837,1578642357967652,0.1555481,0.00338745,0.98780823,-0.08102000000000001,1.18442,0.37947,0
838,1578642357974194,0.1555481,0.00338745,0.98780823,-0.08102999999999999,1.18442,0.37947,0
839,1578642357978833,0.15528870000000006,0.00038147,0.987854,-0.08102999999999999,1.18442,0.37947,0
840,1578642357985190,0.15493774,-9.155e-05,0.98791504,-0.08102999999999999,1.18442,0.37947,0
841,1578642357989182,0.15493774,-9.155e-05,0.98791504,-0.08094,1.18447,0.37948,0
842,1578642357993183,0.15496826,0.0002594,0.98791504,-0.08094,1.18447,0.37948,0
843,1578642357996704,0.15496826,0.0002594,0.98791504,-0.08094,1.18447,0.37948,0
844,1578642358000683,0.15496826,0.0002594,0.98791504,-0.08094,1.18447,0.37948,0
845,1578642358004269,0.15498352,0.00109863,0.98789978,-0.08095,1.18447,0.37948,0
846,1578642358008274,0.15498352,0.00109863,0.98789978,-0.08095,1.18447,0.37948,0
847,1578642358012275,0.15359497,0.00086975,0.98812866,-0.08095,1.18447,0.37948,0
848,1578642358023272,0.15525818,-0.00047302,0.98786926,-0.08117,1.18439,0.37953,0
849,1578642358027276,0.15336609,-0.0027771,0.98815918,-0.08117,1.18439,0.37953,0
850,1578642358034257,0.15344238,-0.00297546,0.98814392,-0.08117,1.18439,0.37953,0
851,1578642358038254,0.15344238,-0.00297546,0.98814392,-0.08117,1.18438,0.37953,0
852,1578642358044363,0.15339661,-0.00332642,0.98814392,-0.08131000000000001,1.18431,0.37954,0
853,1578642358048259,0.15339661,-0.00332642,0.98814392,-0.08131000000000001,1.18431,0.37954,0
854,1578642358052291,0.15303039999999998,-0.00337219,0.98820496,-0.08131000000000001,1.18431,0.37954,0
855,1578642358056260,0.15303039999999998,-0.00337219,0.98820496,-0.08131000000000001,1.18431,0.37954,0
856,1578642358060243,0.1532135,-0.00344849,0.98817444,-0.08125,1.18432,0.37955,0
857,1578642358069000,0.13961792,-0.00062561,0.99020386,-0.08125,1.18432,0.37955,0
858,1578642358073342,0.13961792,-0.00062561,0.99020386,-0.08125,1.18432,0.37955,0
859,1578642358079239,0.10389709,-0.01689148,0.99443054,-0.08126,1.18431,0.37955,1
860,1578642358083246,0.10389709,-0.01689148,0.99443054,-0.08126,1.18431,0.37955,1
861,1578642358087238,0.07997131,-0.05038452,0.99551392,-0.08126,1.18431,0.37955,1
862,1578642358091255,0.07997131,-0.05038452,0.99551392,-0.08126,1.18431,0.37955,1
863,1578642358097639,0.06411743,-0.09950256,0.9929657,-0.08119,1.1842700000000002,0.37957,1
864,1578642358106594,0.04293823,-0.10760498,0.99325562,-0.08119,1.1842700000000002,0.37957,1
865,1578642358110214,0.02848816,-0.13435364,0.99050903,-0.08119,1.1842700000000002,0.37957,1
866,1578642358114229,0.02848816,-0.13435364,0.99050903,-0.0812,1.18426,0.37957,1
867,1578642358119634,0.02815247,-0.15260315,0.98788452,-0.0812,1.18426,0.37957,1
868,1578642358123646,0.02815247,-0.15260315,0.98788452,-0.0812,1.18426,0.37957,1
869,1578642358129698,0.03082275,-0.15357971,0.98764038,-0.0812,1.18426,0.37957,1
870,1578642358133638,0.03082275,-0.15357971,0.98764038,-0.0812,1.18426,0.37957,1
871,1578642358137631,0.02310181,-0.14512634,0.98913574,-0.08096,1.18432,0.37951,1
872,1578642358154219,0.02812195,-0.15428162,0.98762512,-0.08096,1.18432,0.37951,1
873,1578642358158135,0.02812195,-0.15428162,0.98762512,-0.08096,1.18431,0.37951,1
874,1578642358165140,0.03022766,-0.157547,0.98704529,-0.08093,1.1843,0.37945,1
875,1578642358169134,0.02865601,-0.14939879999999994,0.98835754,-0.08093,1.1843,0.37945,1
876,1578642358177130,0.0329895,-0.14930725,0.98823547,-0.08093,1.18429,0.37944,1
877,1578642358181128,0.0329895,-0.14930725,0.98823547,-0.08093,1.18429,0.37944,1
878,1578642358189118,0.02694702,-0.14976501,0.98834229,-0.08062000000000001,1.18444,0.3793,1
879,1578642358193133,0.0295105,-0.15022278,0.98820496,-0.08062000000000001,1.18444,0.3793,1
880,1578642358197122,0.0295105,-0.15022278,0.98820496,-0.08062000000000001,1.18444,0.3793,1
881,1578642358201105,0.03201294,-0.15051270000000005,0.98808289,-0.08057,1.18446,0.37932,1
882,1578642358205115,0.03201294,-0.15051270000000005,0.98808289,-0.08057,1.18446,0.37932,1
883,1578642358211121,0.03317261,-0.15051270000000005,0.98803711,-0.08057,1.18446,0.37932,1
884,1578642358215115,0.03317261,-0.15051270000000005,0.98803711,-0.08055,1.18447,0.37927,1
885,1578642358221118,0.03034973,-0.1504364,0.98814392,-0.08047,1.18451,0.37924,1
